timestamp_ns,trajectory_id,point_index,q1,q2,q3,time_ms,vacuum,servo_angle
1780424917495342697,50,0,-15.145632,-15.145632,-15.145632,0,0,0
1780424917495342697,50,1,2.0703032,27.126837,37.926453,626,0,0
1780424917495342697,50,2,13.049461,36.435463,46.539394,910,0,0
1780424917495342697,50,3,23.745348,46.07094,55.73966,1190,0,0
1780424919035550082,51,0,23.745348,46.07094,55.73966,0,1,0
1780424919035550082,51,1,2.0703032,27.126837,37.926453,399,1,0
1780424919035550082,51,2,-9.763728,17.723995,29.50952,693,1,0
1780424919035550082,51,3,2.0703032,27.126837,37.926453,988,1,0
1780424920071535109,52,0,2.0703032,27.126837,37.926453,0,1,0
1780424920071535109,52,1,41.63419,18.674763,6.5894647,539,1,0
1780424920071535109,52,2,50.01702,28.54611,17.270727,819,1,0
1780424920071535109,52,3,59.07389,38.536304,27.775928,1097,1,0
1780424921214467925,53,0,59.07389,38.536304,27.775928,0,0,0
1780424921214467925,53,1,41.63419,18.674763,6.5894647,394,0,0
1780424921214467925,53,2,39.59571,16.17228,3.8317213,536,0,0
1780424921214467925,53,3,47.87591,26.085077,14.636218,818,0,0
1780424922091736580,54,0,47.87591,26.085077,14.636218,0,0,0
1780424922091736580,54,1,18.976185,18.976185,18.976185,460,0,0
1780424922091736580,54,2,-33.021183,-33.021183,-33.021183,1080,0,0
1780424922091736580,54,3,-15.145632,-15.145632,-15.145632,1442,0,0
